dispatch_date,store_id,item_code,item_description,unit_mrp_inr,discounted_price_inr,daily_sales,gross_revenue,returns,net_returns,ads,bsr,paid_revenue,organic_revenue,inventory,availability_status,sales_velocity_7d,inventory_days_cover
2026-08-19,BLK-DEL-DARK-01,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,2999,1399,83,114724.79,1,1382.23,13951.99,113,44277.14,70447.65,671,In Stock,73.0,9.2
2026-08-06,BLK-DEL-DARK-01,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,3299,1499,32,48142.68,1,1504.46,5859.21,266,18279.48,29863.2,1680,In Stock,32.0,52.5
2026-08-07,BLK-DEL-DARK-01,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,3299,1499,32,47913.88,1,1497.31,5622.55,279,17986.41,29927.47,1652,In Stock,32.0,51.6
2026-08-08,BLK-DEL-DARK-01,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,3299,1499,32,48433.41,1,1513.54,5643.25,264,17715.09,30718.32,1902,In Stock,32.0,59.4
2026-08-09,BLK-DEL-DARK-01,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,3299,1499,32,48625.69,1,1519.55,5760.2,265,17790.69,30835.0,1590,In Stock,32.0,49.7
2026-08-10,BLK-DEL-DARK-01,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,3299,1499,32,46681.48,1,1458.8,5828.16,287,18936.76,27744.72,1509,In Stock,32.0,47.2
2026-08-11,BLK-DEL-DARK-01,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,3299,1499,32,47552.41,1,1486.01,5801.35,263,17763.78,29788.63,1488,In Stock,32.0,46.5
2026-08-12,BLK-DEL-DARK-01,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,3299,1499,32,48127.34,1,1503.98,5484.1,278,18114.23,30013.11,1446,In Stock,32.0,45.2
2026-08-13,BLK-DEL-DARK-01,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,3299,1499,32,47533.28,1,1485.41,5204.24,266,17583.68,29949.6,1686,In Stock,32.0,52.7
2026-08-14,BLK-DEL-DARK-01,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,3299,1499,33,50218.0,1,1521.76,5941.12,263,18687.16,31530.84,1359,In Stock,32.1,42.3
2026-08-15,BLK-DEL-DARK-01,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,3299,1499,34,51410.03,1,1512.06,6366.21,245,18914.02,32496.01,1291,In Stock,32.4,39.8
2026-08-16,BLK-DEL-DARK-01,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,3299,1499,32,47381.96,1,1480.69,5863.18,288,18269.33,29112.63,1258,In Stock,32.4,38.8
2026-08-17,BLK-DEL-DARK-01,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,3299,1499,36,54161.14,1,1504.48,6308.8,251,20517.94,33643.2,1214,In Stock,33.0,36.8
2026-08-18,BLK-DEL-DARK-01,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,3299,1499,42,62933.47,1,1498.42,7826.8,199,23898.54,39034.93,1167,In Stock,34.4,33.9
2026-08-19,BLK-DEL-DARK-01,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,3299,1499,41,60880.6,1,1484.89,7342.8,209,23069.45,37811.15,1125,In Stock,35.7,31.5
2026-08-06,BLK-DEL-DARK-02,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,2999,1199,64,75987.0,2,2374.59,10540.17,156,29056.54,46930.46,1913,In Stock,64.0,29.9
2026-08-07,BLK-DEL-DARK-02,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,2999,1199,64,76315.96,2,2384.87,10907.6,157,29515.92,46800.04,1820,In Stock,64.0,28.4
2026-08-08,BLK-DEL-DARK-02,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,2999,1199,64,78373.53,2,2449.17,10417.26,152,29167.79,49205.74,1682,In Stock,64.0,26.3
2026-08-09,BLK-DEL-DARK-02,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,2999,1199,64,76821.34,2,2400.67,10454.13,147,29209.83,47611.51,1620,In Stock,64.0,25.3
2026-08-10,BLK-DEL-DARK-02,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,2999,1199,64,77269.42,2,2414.67,11564.94,147,29321.39,47948.03,1496,In Stock,64.0,23.4
2026-08-11,BLK-DEL-DARK-02,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,2999,1199,64,75885.63,2,2371.43,10350.51,148,29136.88,46748.75,1433,In Stock,64.0,22.4
2026-08-12,BLK-DEL-DARK-02,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,2999,1199,64,75993.82,2,2374.81,10219.01,149,29709.39,46284.43,1322,In Stock,64.0,20.7
2026-08-13,BLK-DEL-DARK-02,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,2999,1199,64,76685.63,2,2396.43,11181.34,156,28555.15,48130.48,1227,In Stock,64.0,19.2
2026-08-14,BLK-DEL-DARK-02,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,2999,1199,64,75647.16,2,2363.97,10867.87,156,29303.54,46343.62,1146,In Stock,64.0,17.9
2026-08-15,BLK-DEL-DARK-02,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,2999,1199,64,76863.26,2,2401.98,10669.73,156,29438.22,47425.04,1088,In Stock,64.0,17.0
2026-08-16,BLK-DEL-DARK-02,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,2999,1199,64,76316.58,2,2384.89,10899.6,158,28523.74,47792.84,1004,In Stock,64.0,15.7
2026-08-17,BLK-DEL-DARK-02,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,2999,1199,64,75559.1,2,2361.22,11452.26,159,28840.94,46718.16,916,In Stock,64.0,14.3
2026-08-18,BLK-DEL-DARK-02,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,2999,1199,80,96238.79,3,3608.95,13644.33,132,36714.23,59524.56,815,In Stock,66.3,12.3
2026-08-19,BLK-DEL-DARK-02,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,2999,1199,74,89201.57,2,2410.85,12917.91,138,34526.88,54674.69,732,In Stock,67.7,10.8
2026-08-06,BLK-DEL-DARK-02,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,1499,699,27,18931.72,1,701.17,2520.02,302,7107.61,11824.11,1677,In Stock,27.0,62.1
2026-08-07,BLK-DEL-DARK-02,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,1499,699,27,19018.11,1,704.37,2792.72,281,7163.27,11854.84,1626,In Stock,27.0,60.2
2026-08-08,BLK-DEL-DARK-02,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,1499,699,27,19400.92,1,718.55,2718.0,293,7123.82,12277.1,1624,In Stock,27.0,60.1
2026-08-09,BLK-DEL-DARK-02,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,1499,699,27,18812.9,1,696.77,2599.45,283,6888.65,11924.25,1570,In Stock,27.0,58.1
2026-08-10,BLK-DEL-DARK-02,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,1499,699,27,18793.0,1,696.04,2603.27,280,7188.76,11604.24,1518,In Stock,27.0,56.2
2026-08-11,BLK-DEL-DARK-02,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,1499,699,27,18958.75,1,702.18,2453.13,290,6995.98,11962.77,1480,In Stock,27.0,54.8
2026-08-12,BLK-DEL-DARK-02,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,1499,699,27,18876.0,1,699.11,2710.26,289,6976.92,11899.08,1449,In Stock,27.0,53.7
2026-08-13,BLK-DEL-DARK-02,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,1499,699,27,18594.55,1,688.69,2675.25,288,7328.31,11266.24,1412,In Stock,27.0,52.3
2026-08-14,BLK-DEL-DARK-02,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,1499,699,27,18856.69,1,698.4,2758.71,281,7154.67,11702.02,1377,In Stock,27.0,51.0
2026-08-15,BLK-DEL-DARK-02,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,1499,699,27,18982.91,1,703.07,2690.57,296,7299.25,11683.66,1334,In Stock,27.0,49.4
2026-08-16,BLK-DEL-DARK-02,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,1499,699,27,18855.84,1,698.36,2600.5,281,7008.46,11847.38,1299,In Stock,27.0,48.1
2026-08-17,BLK-DEL-DARK-02,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,1499,699,29,20557.66,1,708.88,2857.73,269,8083.79,12473.87,1262,In Stock,27.3,46.2
2026-08-18,BLK-DEL-DARK-02,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,1499,699,32,22484.83,1,702.65,3359.13,244,8356.14,14128.69,1220,In Stock,28.0,43.6
2026-08-19,BLK-DEL-DARK-02,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,1499,699,36,25546.78,1,709.63,3417.27,208,9560.61,15986.17,1181,In Stock,29.3,40.3
2026-08-06,BLK-DEL-DARK-04,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,1799,899,37,33240.47,1,898.39,5866.49,252,12526.31,20714.16,1711,In Stock,37.0,46.2
2026-08-07,BLK-DEL-DARK-04,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,1799,899,37,33702.22,1,910.87,6128.92,258,12781.59,20920.63,1664,In Stock,37.0,45.0
2026-08-08,BLK-DEL-DARK-04,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,1799,899,37,33650.1,1,909.46,6170.55,254,12391.71,21258.39,1655,In Stock,37.0,44.7
2026-08-09,BLK-DEL-DARK-04,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,1799,899,37,33374.1,1,902.0,5698.98,249,12479.58,20894.52,1568,In Stock,37.0,42.4
2026-08-10,BLK-DEL-DARK-04,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,1799,899,37,33049.35,1,893.23,5680.87,260,12837.09,20212.26,1505,In Stock,37.0,40.7
2026-08-11,BLK-DEL-DARK-04,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,1799,899,37,33532.82,1,906.29,5771.24,269,12642.26,20890.56,1500,In Stock,37.0,40.5
2026-08-12,BLK-DEL-DARK-04,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,1799,899,37,34258.47,1,925.9,5795.55,244,12887.85,21370.62,1432,In Stock,37.0,38.7
2026-08-13,BLK-DEL-DARK-04,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,1799,899,37,33484.26,1,904.98,6035.68,251,12942.37,20541.89,1386,In Stock,37.0,37.5
2026-08-14,BLK-DEL-DARK-04,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,1799,899,37,33555.11,1,906.89,5848.07,247,12375.7,21179.41,1332,In Stock,37.0,36.0
2026-08-15,BLK-DEL-DARK-04,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,1799,899,40,35893.06,1,897.33,6796.97,225,14038.8,21854.26,1283,In Stock,37.4,34.3
2026-08-16,BLK-DEL-DARK-04,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,1799,899,40,36014.44,1,900.36,6395.86,234,13421.62,22592.82,1220,In Stock,37.9,32.2
2026-08-17,BLK-DEL-DARK-04,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,1799,899,48,42589.61,1,887.28,7425.53,195,16565.06,26024.55,1167,In Stock,39.4,29.6
2026-08-18,BLK-DEL-DARK-04,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,1799,899,39,34775.95,1,891.69,6073.84,219,12818.22,21957.73,1122,In Stock,39.7,28.3
2026-08-19,BLK-DEL-DARK-04,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,1799,899,45,40051.44,1,890.03,7382.93,212,15466.85,24584.59,1069,In Stock,40.9,26.1
2026-08-06,BLK-DEL-DARK-02,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,2499,1199,46,56582.7,1,1230.06,7848.53,213,21257.39,35325.31,1811,In Stock,46.0,39.4
2026-08-07,BLK-DEL-DARK-02,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,2499,1199,46,53887.37,2,2342.93,8002.16,219,20730.58,33156.79,1722,In Stock,46.0,37.4
2026-08-08,BLK-DEL-DARK-02,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,2499,1199,46,54560.0,2,2372.17,7453.24,209,20876.15,33683.85,1969,In Stock,46.0,42.8
2026-08-09,BLK-DEL-DARK-02,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,2499,1199,46,54754.92,1,1190.32,7615.56,219,20180.2,34574.72,1610,In Stock,46.0,35.0
2026-08-10,BLK-DEL-DARK-02,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,2499,1199,46,56250.93,2,2445.69,7536.56,221,20672.19,35578.74,1519,In Stock,46.0,33.0
2026-08-11,BLK-DEL-DARK-02,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,2499,1199,46,56049.53,1,1218.47,8117.81,220,20616.14,35433.39,1451,In Stock,46.0,31.5
2026-08-12,BLK-DEL-DARK-02,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,2499,1199,46,55157.52,1,1199.08,8029.71,218,21464.64,33692.88,1412,In Stock,46.0,30.7
2026-08-13,BLK-DEL-DARK-02,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,2499,1199,46,55543.59,1,1207.47,7697.8,231,20552.18,34991.41,1689,In Stock,46.0,36.7
2026-08-14,BLK-DEL-DARK-02,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,2499,1199,46,54814.05,1,1191.61,7800.26,205,21961.46,32852.59,1290,In Stock,46.0,28.0
2026-08-15,BLK-DEL-DARK-02,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,2499,1199,46,55140.3,1,1198.7,7563.21,218,21070.93,34069.37,1219,In Stock,46.0,26.5
2026-08-16,BLK-DEL-DARK-02,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,2499,1199,46,54690.65,1,1188.93,7627.68,219,20359.6,34331.05,1150,In Stock,46.0,25.0
2026-08-17,BLK-DEL-DARK-02,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,2499,1199,49,58736.97,2,2397.43,8036.36,202,22633.94,36103.03,1089,In Stock,46.4,23.5
2026-08-18,BLK-DEL-DARK-02,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,2499,1199,53,63825.71,1,1204.26,9384.13,193,24393.52,39432.19,1023,In Stock,47.4,21.6
2026-08-19,BLK-DEL-DARK-02,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,2499,1199,58,70372.86,2,2426.65,9500.72,165,25640.82,44732.04,953,In Stock,49.1,19.4
2026-08-06,BLK-DEL-DARK-04,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1999,799,55,43333.37,1,787.88,7787.76,190,16637.88,26695.49,1809,In Stock,55.0,32.9
2026-08-07,BLK-DEL-DARK-04,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1999,799,55,44093.27,1,801.7,7716.98,188,16409.89,27683.38,1738,In Stock,55.0,31.6
2026-08-08,BLK-DEL-DARK-04,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1999,799,55,43662.5,1,793.86,7660.65,177,17225.35,26437.15,1701,In Stock,55.0,30.9
2026-08-09,BLK-DEL-DARK-04,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1999,799,55,43552.14,1,791.86,7735.1,174,16904.91,26647.23,1592,In Stock,55.0,28.9
2026-08-10,BLK-DEL-DARK-04,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1999,799,55,43715.22,2,1589.64,7938.04,182,17077.77,26637.45,1523,In Stock,55.0,27.7
2026-08-11,BLK-DEL-DARK-04,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1999,799,55,43142.28,1,784.41,8194.59,185,16359.0,26783.28,1432,In Stock,55.0,26.0
2026-08-12,BLK-DEL-DARK-04,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1999,799,55,44090.76,1,801.65,8185.72,190,16655.77,27434.99,1359,In Stock,55.0,24.7
2026-08-13,BLK-DEL-DARK-04,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1999,799,55,44377.07,1,806.86,8630.92,191,16573.49,27803.58,1312,In Stock,55.0,23.9
2026-08-14,BLK-DEL-DARK-04,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1999,799,55,43732.4,1,795.13,8059.91,187,16422.7,27309.7,1237,In Stock,55.0,22.5
2026-08-15,BLK-DEL-DARK-04,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1999,799,56,43754.77,1,781.34,7513.66,180,16574.45,27180.32,1140,In Stock,55.1,20.7
2026-08-16,BLK-DEL-DARK-04,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1999,799,59,46703.11,2,1583.16,8354.55,172,18387.4,28315.71,1070,In Stock,55.7,19.2
2026-08-17,BLK-DEL-DARK-04,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1999,799,60,48128.55,2,1604.29,8805.63,157,17886.52,30242.03,998,In Stock,56.4,17.7
2026-08-18,BLK-DEL-DARK-04,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1999,799,68,54149.4,2,1592.63,10401.54,150,20282.28,33867.12,915,In Stock,58.3,15.7
2026-08-19,BLK-DEL-DARK-04,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1999,799,69,55201.86,2,1600.05,10218.1,152,21527.05,33674.81,840,In Stock,60.3,13.9
2026-08-06,BLK-DEL-DARK-01,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,4999,2799,50,138670.31,1,2773.41,17435.08,187,55532.28,83138.03,1786,In Stock,50.0,35.7
2026-08-07,BLK-DEL-DARK-01,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,4999,2799,50,140878.84,1,2817.58,16940.31,211,54253.84,86625.0,1756,In Stock,50.0,35.1
2026-08-08,BLK-DEL-DARK-01,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,4999,2799,50,140552.56,1,2811.05,17326.1,215,52854.33,87698.23,1669,In Stock,50.0,33.4
2026-08-09,BLK-DEL-DARK-01,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,4999,2799,50,140157.81,2,5606.31,16449.25,207,53192.68,86965.13,1560,In Stock,50.0,31.2
2026-08-10,BLK-DEL-DARK-01,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,4999,2799,50,142943.18,2,5717.73,16668.33,208,51265.97,91677.21,1526,In Stock,50.0,30.5
2026-08-11,BLK-DEL-DARK-01,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,4999,2799,50,141767.7,2,5670.71,16475.43,205,54402.31,87365.39,1461,In Stock,50.0,29.2
2026-08-12,BLK-DEL-DARK-01,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,4999,2799,50,141706.05,2,5668.24,16285.36,207,51455.89,90250.16,1397,In Stock,50.0,27.9
2026-08-13,BLK-DEL-DARK-01,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,4999,2799,50,139411.68,1,2788.23,17256.87,201,53132.54,86279.14,1347,In Stock,50.0,26.9
2026-08-14,BLK-DEL-DARK-01,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,4999,2799,50,140789.34,1,2815.79,15807.04,188,53065.88,87723.46,1257,In Stock,50.0,25.1
2026-08-15,BLK-DEL-DARK-01,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,4999,2799,50,136424.59,2,5456.98,17287.49,205,54707.3,81717.29,1184,In Stock,50.0,23.7
2026-08-16,BLK-DEL-DARK-01,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,4999,2799,56,159908.44,2,5711.02,19555.54,184,58441.11,101467.33,1098,In Stock,50.9,21.6
2026-08-17,BLK-DEL-DARK-01,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,4999,2799,55,158143.99,2,5750.69,18887.16,184,60222.97,97921.02,1043,In Stock,51.6,20.2
2026-08-18,BLK-DEL-DARK-01,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,4999,2799,56,154931.21,1,2766.63,19642.92,189,61197.53,93733.68,972,In Stock,52.4,18.5
2026-08-19,BLK-DEL-DARK-01,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,4999,2799,65,182939.76,2,5628.92,22592.01,159,69249.67,113690.09,895,In Stock,54.6,16.4
2026-08-06,BLK-DEL-DARK-03,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,2499,1099,60,65346.54,2,2178.22,10363.04,164,24903.79,40442.75,1764,In Stock,60.0,29.4
2026-08-07,BLK-DEL-DARK-03,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,2499,1099,60,66232.27,2,2207.74,10368.27,177,26027.1,40205.17,1780,In Stock,60.0,29.7
2026-08-08,BLK-DEL-DARK-03,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,2499,1099,60,66160.96,2,2205.37,11055.84,172,25085.23,41075.73,2083,In Stock,60.0,34.7
2026-08-09,BLK-DEL-DARK-03,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,2499,1099,60,67708.03,2,2256.93,10450.55,176,25267.41,42440.62,1610,In Stock,60.0,26.8
2026-08-10,BLK-DEL-DARK-03,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,2499,1099,60,66348.86,2,2211.63,9730.83,175,25793.85,40555.01,1508,In Stock,60.0,25.1
2026-08-11,BLK-DEL-DARK-03,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,2499,1099,60,66146.33,2,2204.88,10537.99,186,24810.87,41335.46,1464,In Stock,60.0,24.4
