order_date,fsn,seller_sku,item_title,item_price_inr,return_type,cancellation_quantity,daily_sales,gross_revenue,returns,net_returns,ads,bsr,paid_revenue,organic_revenue,inventory,availability_status,sales_velocity_7d,inventory_days_cover
2026-08-17,PLWGFK1234567890,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1399,Customer Return,0,149,208257.5,5,6988.51,28982.04,1275,77445.57,130811.93,853,In Stock,127.7,6.7
2026-08-18,PLWGFK1234567890,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1399,Customer Return,0,160,231385.77,6,8676.97,30694.22,1252,87500.91,143884.86,688,In Stock,133.3,5.2
2026-08-19,PLWGFK1234567890,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1399,Customer Return,0,162,225527.47,6,8352.87,30176.68,1230,83463.62,142063.85,520,In Stock,139.1,3.7
2026-08-06,PLWGFK7788990011,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,1499,Customer Return,1,56,85766.17,3,4594.62,12338.43,3849,30861.32,54904.85,2055,In Stock,56.0,36.7
2026-08-07,PLWGFK7788990011,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,1499,Customer Return,1,56,84212.69,2,3007.6,11314.69,3736,32026.08,52186.61,2022,In Stock,56.0,36.1
2026-08-08,PLWGFK7788990011,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,1499,Customer Return,1,56,81772.18,2,2920.43,11642.58,3725,31527.68,50244.5,2205,In Stock,56.0,39.4
2026-08-09,PLWGFK7788990011,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,1499,Customer Return,1,56,85023.16,3,4554.81,12000.16,3518,31815.77,53207.39,1841,In Stock,56.0,32.9
2026-08-10,PLWGFK7788990011,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,1499,Customer Return,0,56,84382.65,3,4520.5,11431.15,3292,32223.97,52158.68,1789,In Stock,56.0,31.9
2026-08-11,PLWGFK7788990011,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,1499,Customer Return,2,56,84976.86,3,4552.33,11621.65,3798,30963.33,54013.53,1651,In Stock,56.0,29.5
2026-08-12,PLWGFK7788990011,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,1499,Customer Return,1,56,82742.87,3,4432.65,11512.31,3761,31249.76,51493.11,1582,In Stock,56.0,28.2
2026-08-13,PLWGFK7788990011,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,1499,Customer Return,1,56,85246.99,3,4566.8,11196.83,3518,32922.18,52324.81,1825,In Stock,56.0,32.6
2026-08-14,PLWGFK7788990011,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,1499,Customer Return,1,56,84039.52,3,4502.12,11247.09,3435,30507.7,53531.82,1449,In Stock,56.0,25.9
2026-08-15,PLWGFK7788990011,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,1499,Customer Return,1,60,92099.6,3,4604.98,12616.46,3353,34344.92,57754.68,1379,In Stock,56.6,24.4
2026-08-16,PLWGFK7788990011,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,1499,Customer Return,2,70,103415.61,4,5909.46,14542.96,2871,39406.04,64009.57,1289,In Stock,58.6,22.0
2026-08-17,PLWGFK7788990011,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,1499,Customer Return,1,64,96494.46,3,4523.18,13543.1,3305,36391.07,60103.39,1219,In Stock,59.7,20.4
2026-08-18,PLWGFK7788990011,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,1499,Customer Return,2,71,108595.79,3,4588.55,14201.06,2918,41065.73,67530.06,1141,In Stock,61.9,18.4
2026-08-19,PLWGFK7788990011,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,1499,Customer Return,2,76,113157.82,4,5955.67,15966.69,2697,43072.88,70084.94,1056,In Stock,64.7,16.3
2026-08-06,PLWGFK0987654321,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1199,Courier Return,1,112,134578.65,6,7209.57,20992.72,1950,52280.98,82297.67,2673,In Stock,112.0,23.9
2026-08-07,PLWGFK0987654321,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1199,Courier Return,1,112,135277.59,4,4831.34,21936.04,1964,51559.8,83717.79,2385,In Stock,112.0,21.3
2026-08-08,PLWGFK0987654321,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1199,Courier Return,1,112,135641.98,4,4844.36,22604.62,1901,50752.17,84889.81,2313,In Stock,112.0,20.7
2026-08-09,PLWGFK0987654321,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1199,Courier Return,1,112,133705.83,5,5969.01,21750.81,1917,50020.46,83685.37,2120,In Stock,112.0,18.9
2026-08-10,PLWGFK0987654321,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1199,Courier Return,1,112,133852.66,5,5975.57,22818.15,1776,50928.97,82923.69,1965,In Stock,112.0,17.5
2026-08-11,PLWGFK0987654321,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1199,Courier Return,1,112,136514.56,5,6094.4,21362.04,1919,52344.41,84170.15,1846,In Stock,112.0,16.5
2026-08-12,PLWGFK0987654321,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1199,Courier Return,1,112,130550.05,5,5828.13,19980.89,1963,50475.09,80074.96,1712,In Stock,112.0,15.3
2026-08-13,PLWGFK0987654321,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1199,Courier Return,1,112,135948.11,5,6069.11,21624.49,1879,52011.92,83936.19,1563,In Stock,112.0,14.0
2026-08-14,PLWGFK0987654321,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1199,Courier Return,0,112,136661.6,4,4880.77,19642.99,1892,49582.57,87079.03,1385,In Stock,112.0,12.4
2026-08-15,PLWGFK0987654321,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1199,Courier Return,0,113,134087.41,5,5933.07,23542.43,1876,53340.32,80747.09,1216,In Stock,112.1,10.8
2026-08-16,PLWGFK0987654321,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1199,Courier Return,1,128,151634.29,5,5923.21,24482.6,1695,56452.9,95181.39,1074,In Stock,114.4,9.4
2026-08-17,PLWGFK0987654321,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1199,Courier Return,1,121,146566.96,5,6056.49,22562.51,1699,55827.81,90739.15,920,In Stock,115.7,8.0
2026-08-18,PLWGFK0987654321,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1199,Courier Return,1,144,172363.89,6,7181.83,29106.0,1531,66931.32,105432.57,756,In Stock,120.3,6.3
2026-08-19,PLWGFK0987654321,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1199,Courier Return,1,140,165993.67,5,5928.35,28253.45,1515,62436.71,103556.96,599,In Stock,124.3,4.8
2026-08-06,PLWGFK3344556677,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,699,Courier Return,0,48,33004.33,1,687.59,5441.73,4049,12888.81,20115.52,1995,In Stock,48.0,41.6
2026-08-07,PLWGFK3344556677,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,699,Courier Return,0,48,33515.14,1,698.23,5268.58,3825,13314.36,20200.78,1938,In Stock,48.0,40.4
2026-08-08,PLWGFK3344556677,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,699,Courier Return,0,48,34004.02,2,1416.83,5350.62,4002,12466.48,21537.54,1834,In Stock,48.0,38.2
2026-08-09,PLWGFK3344556677,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,699,Courier Return,0,48,33547.89,1,698.91,5667.11,3826,12790.38,20757.51,1808,In Stock,48.0,37.7
2026-08-10,PLWGFK3344556677,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,699,Courier Return,0,48,33233.93,1,692.37,5392.73,3715,12731.96,20501.97,1741,In Stock,48.0,36.3
2026-08-11,PLWGFK3344556677,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,699,Courier Return,0,48,33359.51,2,1389.98,5614.13,3862,12623.93,20735.58,1667,In Stock,48.0,34.7
2026-08-12,PLWGFK3344556677,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,699,Courier Return,0,48,33953.24,2,1414.72,5181.61,4007,12824.88,21128.36,1626,In Stock,48.0,33.9
2026-08-13,PLWGFK3344556677,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,699,Courier Return,0,48,33151.66,1,690.66,5492.41,3763,12876.73,20274.93,1543,In Stock,48.0,32.1
2026-08-14,PLWGFK3344556677,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,699,Courier Return,0,48,34702.47,1,722.97,5437.17,3669,12898.45,21804.02,1462,In Stock,48.0,30.5
2026-08-15,PLWGFK3344556677,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,699,Courier Return,0,48,34245.46,1,713.45,5419.59,3893,12846.58,21398.88,1410,In Stock,48.0,29.4
2026-08-16,PLWGFK3344556677,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,699,Courier Return,0,55,38354.58,1,697.36,6077.54,3426,14198.03,24156.55,1330,In Stock,49.0,27.1
2026-08-17,PLWGFK3344556677,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,699,Courier Return,0,54,37770.35,2,1398.9,5583.63,3524,14080.96,23689.39,1260,In Stock,49.9,25.3
2026-08-18,PLWGFK3344556677,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,699,Courier Return,0,63,44447.64,2,1411.04,7022.42,3072,16577.44,27870.2,1191,In Stock,52.0,22.9
2026-08-19,PLWGFK3344556677,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,699,Courier Return,0,65,45881.41,2,1411.74,7293.67,2834,17536.26,28345.15,1123,In Stock,54.4,20.6
2026-08-06,PLWGFK2233445566,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,899,Courier Return,1,64,57436.38,3,2692.33,11017.16,3753,22231.92,35204.46,2130,In Stock,64.0,33.3
2026-08-07,PLWGFK2233445566,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,899,Courier Return,1,64,58713.94,2,1834.81,11958.08,3442,21993.51,36720.43,2022,In Stock,64.0,31.6
2026-08-08,PLWGFK2233445566,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,899,Courier Return,0,64,57601.89,3,2700.09,10525.94,3562,21433.66,36168.23,2003,In Stock,64.0,31.3
2026-08-09,PLWGFK2233445566,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,899,Courier Return,1,64,58237.14,3,2729.87,10839.3,3381,21860.22,36376.92,1834,In Stock,64.0,28.7
2026-08-10,PLWGFK2233445566,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,899,Courier Return,1,64,57433.77,3,2692.21,11280.26,3470,21669.96,35763.81,1789,In Stock,64.0,28.0
2026-08-11,PLWGFK2233445566,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,899,Courier Return,0,64,56209.74,3,2634.83,11699.33,3532,21863.43,34346.31,1668,In Stock,64.0,26.1
2026-08-12,PLWGFK2233445566,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,899,Courier Return,1,64,57531.09,3,2696.77,11575.74,3528,21661.6,35869.49,1631,In Stock,64.0,25.5
2026-08-13,PLWGFK2233445566,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,899,Courier Return,1,64,58067.11,3,2721.9,11999.25,3497,22145.53,35921.58,1549,In Stock,64.0,24.2
2026-08-14,PLWGFK2233445566,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,899,Courier Return,1,64,57379.65,3,2689.67,11808.17,3466,21888.78,35490.87,1455,In Stock,64.0,22.7
2026-08-15,PLWGFK2233445566,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,899,Courier Return,0,71,63630.84,3,2688.63,13426.3,3087,23818.09,39812.75,1363,In Stock,65.0,21.0
2026-08-16,PLWGFK2233445566,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,899,Courier Return,1,69,60514.17,3,2631.05,12420.4,3230,23044.57,37469.6,1263,In Stock,65.7,19.2
2026-08-17,PLWGFK2233445566,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,899,Courier Return,0,74,67062.56,3,2718.75,13526.46,3069,24930.04,42132.52,1178,In Stock,67.1,17.6
2026-08-18,PLWGFK2233445566,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,899,Courier Return,1,83,73645.84,4,3549.2,15661.18,2651,28935.22,44710.62,1079,In Stock,69.9,15.4
2026-08-19,PLWGFK2233445566,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,899,Courier Return,0,84,75729.47,4,3606.17,15564.11,2506,28373.65,47355.82,992,In Stock,72.7,13.6
2026-08-06,PLWGFK6677889900,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,1199,Courier Return,1,81,98097.87,5,6055.42,15667.91,2893,36827.75,61270.12,2231,In Stock,81.0,27.5
2026-08-07,PLWGFK6677889900,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,1199,Courier Return,1,81,97579.94,4,4818.76,14686.77,2879,36370.58,61209.36,2143,In Stock,81.0,26.5
2026-08-08,PLWGFK6677889900,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,1199,Courier Return,1,81,98018.17,4,4840.4,15979.09,2931,36797.6,61220.57,2409,In Stock,81.0,29.7
2026-08-09,PLWGFK6677889900,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,1199,Courier Return,1,81,96379.17,5,5949.33,14906.27,2755,37024.84,59354.33,1980,In Stock,81.0,24.4
2026-08-10,PLWGFK6677889900,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,1199,Courier Return,2,81,97103.92,4,4795.26,14748.48,3022,35973.44,61130.48,1802,In Stock,81.0,22.2
2026-08-11,PLWGFK6677889900,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,1199,Courier Return,2,81,96940.66,4,4787.19,15838.28,2751,36386.28,60554.38,1697,In Stock,81.0,21.0
2026-08-12,PLWGFK6677889900,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,1199,Courier Return,2,81,96588.12,4,4769.78,14785.0,2842,35864.52,60723.6,1659,In Stock,81.0,20.5
2026-08-13,PLWGFK6677889900,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,1199,Courier Return,1,81,97397.07,4,4809.73,16397.14,3032,36117.22,61279.85,1916,In Stock,81.0,23.7
2026-08-14,PLWGFK6677889900,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,1199,Courier Return,1,81,98701.79,4,4874.16,15815.37,2877,37049.34,61652.45,1435,In Stock,81.0,17.7
2026-08-15,PLWGFK6677889900,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,1199,Courier Return,1,84,100810.99,6,7200.78,15732.12,2638,38679.39,62131.6,1322,In Stock,81.4,16.2
2026-08-16,PLWGFK6677889900,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,1199,Courier Return,2,93,111569.3,5,5998.35,18316.85,2619,43368.85,68200.45,1175,In Stock,83.1,14.1
2026-08-17,PLWGFK6677889900,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,1199,Courier Return,2,94,114163.75,5,6072.54,17263.03,2498,42116.67,72047.08,1090,In Stock,85.0,12.8
2026-08-18,PLWGFK6677889900,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,1199,Courier Return,2,90,109171.02,4,4852.05,17270.6,2662,40838.68,68332.34,974,In Stock,86.3,11.3
2026-08-19,PLWGFK6677889900,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,1199,Courier Return,2,99,118777.15,5,5998.85,18912.95,2325,46161.45,72615.7,864,In Stock,88.9,9.7
2026-08-06,PLWGFK9988776655,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),799,Courier Return,0,96,77050.13,3,2407.82,14543.43,2369,29841.47,47208.66,2460,In Stock,96.0,25.6
2026-08-07,PLWGFK9988776655,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),799,Courier Return,0,96,77594.5,4,3233.1,15498.08,2479,28221.27,49373.23,2240,In Stock,96.0,23.3
2026-08-08,PLWGFK9988776655,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),799,Courier Return,0,96,76952.61,4,3206.36,15562.0,2472,30231.51,46721.1,2319,In Stock,96.0,24.2
2026-08-09,PLWGFK9988776655,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),799,Courier Return,0,96,77097.76,3,2409.3,15576.51,2612,28840.47,48257.29,2081,In Stock,96.0,21.7
2026-08-10,PLWGFK9988776655,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),799,Courier Return,0,96,76603.54,3,2393.86,15205.02,2446,29475.3,47128.24,2006,In Stock,96.0,20.9
2026-08-11,PLWGFK9988776655,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),799,Courier Return,0,96,76237.24,3,2382.41,15120.48,2494,28999.47,47237.77,1749,In Stock,96.0,18.2
2026-08-12,PLWGFK9988776655,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),799,Courier Return,0,96,77050.96,4,3210.46,14735.69,2498,29922.05,47128.91,1631,In Stock,96.0,17.0
2026-08-13,PLWGFK9988776655,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),799,Courier Return,0,96,75226.43,4,3134.43,15327.75,2432,29360.03,45866.4,1549,In Stock,96.0,16.1
2026-08-14,PLWGFK9988776655,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),799,Courier Return,0,103,79465.6,3,2314.53,16276.53,2273,31169.88,48295.72,1429,In Stock,97.0,14.7
2026-08-15,PLWGFK9988776655,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),799,Courier Return,0,110,86924.1,4,3160.88,17164.62,2148,34385.05,52539.05,1236,In Stock,99.0,12.5
2026-08-16,PLWGFK9988776655,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),799,Courier Return,0,119,94872.77,5,3986.25,19399.26,1945,35112.02,59760.75,1123,In Stock,102.3,11.0
2026-08-17,PLWGFK9988776655,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),799,Courier Return,0,111,89428.32,4,3222.64,17896.67,2139,34141.12,55287.2,999,In Stock,104.4,9.6
2026-08-18,PLWGFK9988776655,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),799,Courier Return,0,111,90030.98,5,4055.45,18587.03,2174,33127.43,56903.55,875,In Stock,106.6,8.2
2026-08-19,PLWGFK9988776655,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),799,Courier Return,0,127,101218.01,5,3984.96,20572.0,1776,39640.33,61577.68,724,In Stock,111.0,6.5
2026-08-06,PLWGFK1122334455,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,2799,Customer Return,1,89,251339.54,3,8472.12,34544.83,2514,92903.38,158436.16,2396,In Stock,89.0,26.9
2026-08-07,PLWGFK1122334455,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,2799,Customer Return,1,89,240275.67,3,8099.18,33353.01,2700,96784.2,143491.47,2202,In Stock,89.0,24.7
2026-08-08,PLWGFK1122334455,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,2799,Customer Return,1,89,249978.03,4,11234.97,37714.49,2611,97533.17,152444.86,2130,In Stock,89.0,23.9
2026-08-09,PLWGFK1122334455,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,2799,Customer Return,1,89,247929.48,4,11142.9,36666.45,2675,94445.95,153483.53,2089,In Stock,89.0,23.5
2026-08-10,PLWGFK1122334455,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,2799,Customer Return,0,89,246944.9,4,11098.65,33833.4,2670,95532.52,151412.38,1860,In Stock,89.0,20.9
2026-08-11,PLWGFK1122334455,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,2799,Customer Return,1,89,243826.99,4,10958.52,35009.18,2456,96792.16,147034.83,1776,In Stock,89.0,20.0
2026-08-12,PLWGFK1122334455,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,2799,Customer Return,1,89,244755.13,4,11000.23,34398.66,2719,97891.77,146863.36,1664,In Stock,89.0,18.7
2026-08-13,PLWGFK1122334455,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,2799,Customer Return,1,89,246691.18,4,11087.24,35947.34,2683,92062.75,154628.43,1527,In Stock,89.0,17.2
2026-08-14,PLWGFK1122334455,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,2799,Customer Return,0,89,245907.33,4,11052.01,34443.9,2559,92572.06,153335.27,1433,In Stock,89.0,16.1
2026-08-15,PLWGFK1122334455,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,2799,Customer Return,1,89,247243.85,4,11112.08,36493.07,2713,95287.5,151956.35,1269,In Stock,89.0,14.3
2026-08-16,PLWGFK1122334455,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,2799,Customer Return,1,108,302772.09,5,14017.23,42421.48,2031,116130.24,186641.85,1141,In Stock,91.7,12.4
2026-08-17,PLWGFK1122334455,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,2799,Customer Return,1,96,272934.56,3,8529.2,37203.59,2223,98156.92,174777.64,1050,In Stock,92.7,11.3
2026-08-18,PLWGFK1122334455,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,2799,Customer Return,1,106,300535.16,3,8505.71,43279.57,2274,112359.52,188175.64,923,In Stock,95.1,9.7
2026-08-19,PLWGFK1122334455,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,2799,Customer Return,1,124,342224.59,5,13799.38,52006.87,1786,129358.12,212866.47,783,In Stock,100.1,7.8
2026-08-06,PLWGFK5544332211,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,1099,Customer Return,1,104,113371.28,7,7630.76,20060.35,2189,42668.49,70702.79,2588,In Stock,104.0,24.9
2026-08-07,PLWGFK5544332211,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,1099,Customer Return,2,104,113317.32,5,5447.95,18663.88,1996,42235.47,71081.85,2333,In Stock,104.0,22.4
2026-08-08,PLWGFK5544332211,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,1099,Customer Return,1,104,116066.08,5,5580.1,20869.21,2206,44112.25,71953.83,2688,In Stock,104.0,25.8
