date,asin,sku,title,sessions,page_views,sales_rank,daily_sales,gross_revenue,returns,net_returns,ads,bsr,paid_revenue,organic_revenue,inventory,availability_status,sales_velocity_7d,inventory_days_cover
2026-08-10,B08V6W1Y99,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,634,900,2699,89,132604.2,4,5959.74,20876.53,2699,51011.97,81592.23,2091,In Stock,89.0,23.5
2026-08-11,B08V6W1Y99,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,634,900,2502,89,132640.57,3,4471.03,22419.93,2502,49517.92,83122.65,1963,In Stock,89.0,22.1
2026-08-12,B08V6W1Y99,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,634,900,2823,89,133222.71,5,7484.42,22252.88,2823,47986.13,85236.58,1812,In Stock,89.0,20.4
2026-08-13,B08V6W1Y99,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,634,900,2849,89,132205.67,5,7427.28,20677.59,2849,50365.38,81840.29,2013,In Stock,89.0,22.6
2026-08-14,B08V6W1Y99,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,729,1035,2356,102,152963.27,5,7498.2,25965.24,2356,57992.82,94970.45,1646,In Stock,90.9,18.1
2026-08-15,B08V6W1Y99,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,775,1101,2256,108,160517.99,5,7431.39,26781.21,2256,61073.77,99444.22,1461,In Stock,93.6,15.6
2026-08-16,B08V6W1Y99,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,797,1132,2178,111,166416.92,4,5997.01,26935.86,2178,63765.21,102651.71,1326,In Stock,96.7,13.7
2026-08-17,B08V6W1Y99,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,722,1026,2238,101,151292.88,5,7489.75,24295.04,2238,56733.65,94559.23,1224,In Stock,98.4,12.4
2026-08-18,B08V6W1Y99,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,804,1142,2114,112,167794.14,6,8988.97,27124.26,2114,62511.42,105282.72,1088,In Stock,101.7,10.7
2026-08-19,B08V6W1Y99,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,785,1115,2177,110,164865.62,5,7493.89,26178.36,2177,62528.6,102337.02,977,In Stock,104.7,9.3
2026-08-06,B08P9X7Y22,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1238,1656,1399,177,209917.04,15,17789.58,37694.53,1399,82740.26,127176.78,3516,In Stock,177.0,19.9
2026-08-07,B08P9X7Y22,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1238,1656,1385,177,209803.6,13,15409.3,37746.85,1385,82000.07,127803.53,3386,In Stock,177.0,19.1
2026-08-08,B08P9X7Y22,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1238,1656,1365,177,208540.36,16,18851.11,38296.58,1365,79790.72,128749.64,3253,In Stock,177.0,18.4
2026-08-09,B08P9X7Y22,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1238,1656,1404,177,209616.48,18,21316.93,38439.83,1404,80999.57,128616.91,2909,In Stock,177.0,16.4
2026-08-10,B08P9X7Y22,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1238,1656,1298,177,209195.61,15,17728.44,37344.79,1298,79150.27,130045.34,2683,In Stock,177.0,15.2
2026-08-11,B08P9X7Y22,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1238,1656,1459,177,208477.33,17,20023.25,36842.31,1459,81150.4,127326.93,2572,In Stock,177.0,14.5
2026-08-12,B08P9X7Y22,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1238,1656,1344,177,209702.97,15,17771.44,35349.58,1344,81076.53,128626.44,2127,In Stock,177.0,12.0
2026-08-13,B08P9X7Y22,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1238,1656,1284,177,214937.71,14,17000.72,38410.11,1284,80388.88,134548.83,1896,In Stock,177.0,10.7
2026-08-14,B08P9X7Y22,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1238,1656,1307,177,216725.34,15,18366.55,38374.32,1307,82229.8,134495.54,1641,In Stock,177.0,9.3
2026-08-15,B08P9X7Y22,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1321,1766,1321,189,232399.02,15,18444.37,39617.33,1321,87556.26,144842.76,1435,In Stock,178.7,8.0
2026-08-16,B08P9X7Y22,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1463,1957,1105,209,250468.42,18,21571.44,44072.65,1105,96074.12,154394.3,1134,In Stock,183.3,6.2
2026-08-17,B08P9X7Y22,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1508,2017,1171,216,263891.51,20,24434.4,46878.16,1171,98180.41,165711.1,918,In Stock,188.9,4.9
2026-08-18,B08P9X7Y22,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1567,2095,1032,224,272141.47,20,24298.35,49069.15,1032,105193.63,166947.84,655,In Stock,195.6,3.3
2026-08-19,B08P9X7Y22,SLP-GEL-02,Sleepsia Orthopedic Cooling Gel Memory Foam Contour Pillow,1876,2509,865,268,327978.43,27,33042.6,57476.34,865,121170.37,206808.06,381,In Stock,208.6,1.8
2026-08-06,B08W7X0Z00,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,547,792,2821,76,52376.88,3,2067.51,9196.41,2821,20303.77,32073.11,2309,In Stock,76.0,30.4
2026-08-07,B08W7X0Z00,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,547,792,2833,76,52592.95,3,2076.04,9375.66,2833,20022.24,32570.71,2348,In Stock,76.0,30.9
2026-08-08,B08W7X0Z00,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,547,792,2874,76,52574.28,3,2075.3,9722.59,2874,19567.12,33007.16,2200,In Stock,76.0,28.9
2026-08-09,B08W7X0Z00,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,547,792,2871,76,52727.35,3,2081.34,10251.86,2871,20096.1,32631.25,2069,In Stock,76.0,27.2
2026-08-10,B08W7X0Z00,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,547,792,2980,76,53377.1,3,2106.99,9748.26,2980,19935.92,33441.18,2040,In Stock,76.0,26.8
2026-08-11,B08W7X0Z00,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,547,792,2876,76,53993.17,3,2131.31,8932.85,2876,20058.77,33934.4,1882,In Stock,76.0,24.8
2026-08-12,B08W7X0Z00,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,547,792,2871,76,54323.86,3,2144.36,9505.52,2871,20354.19,33969.67,1794,In Stock,76.0,23.6
2026-08-13,B08W7X0Z00,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,547,792,2749,76,53866.87,3,2126.32,10113.67,2749,20312.13,33554.74,1689,In Stock,76.0,22.2
2026-08-14,B08W7X0Z00,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,547,792,2984,76,53676.04,3,2118.79,9633.14,2984,20544.99,33131.05,1593,In Stock,76.0,21.0
2026-08-15,B08W7X0Z00,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,566,819,2603,78,54741.73,2,1403.63,8807.33,2603,20877.02,33864.71,1489,In Stock,76.3,19.5
2026-08-16,B08W7X0Z00,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,644,932,2625,89,61343.21,3,2067.75,10918.89,2625,24288.18,37055.03,1369,In Stock,78.1,17.5
2026-08-17,B08W7X0Z00,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,658,952,2380,91,64843.17,3,2137.69,11502.13,2380,23686.86,41156.31,1256,In Stock,80.3,15.6
2026-08-18,B08W7X0Z00,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,689,998,2265,95,65813.58,4,2771.1,12339.61,2265,25251.37,40562.21,1158,In Stock,83.0,14.0
2026-08-19,B08W7X0Z00,SLP-KIDS-10,Sleepsia Ergonomic Kids Memory Foam Pillow for Spinal Alignment,786,1137,1895,109,75276.97,4,2762.46,13214.41,1895,29592.25,45684.72,1041,In Stock,87.7,11.9
2026-08-06,B08U5V2X88,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,720,1008,2467,101,92431.61,4,3660.66,19654.98,2467,34210.5,58221.11,2759,In Stock,101.0,27.3
2026-08-07,B08U5V2X88,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,720,1008,2409,101,89898.23,4,3560.33,19428.75,2409,32902.41,56995.82,2560,In Stock,101.0,25.3
2026-08-08,B08U5V2X88,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,720,1008,2404,101,90531.98,5,4481.78,19255.08,2404,34464.32,56067.66,2391,In Stock,101.0,23.7
2026-08-09,B08U5V2X88,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,720,1008,2399,101,90557.62,5,4483.05,20428.47,2399,34494.2,56063.42,2295,In Stock,101.0,22.7
2026-08-10,B08U5V2X88,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,720,1008,2400,101,89474.18,4,3543.53,18882.67,2400,34976.84,54497.34,2155,In Stock,101.0,21.3
2026-08-11,B08U5V2X88,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,720,1008,2514,101,88313.94,5,4371.98,18929.4,2514,33866.76,54447.18,2047,In Stock,101.0,20.3
2026-08-12,B08U5V2X88,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,720,1008,2473,101,89579.17,5,4434.61,20288.87,2473,34543.83,55035.34,1892,In Stock,101.0,18.7
2026-08-13,B08U5V2X88,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,720,1008,2576,101,91646.45,3,2722.17,20540.0,2576,33385.79,58260.66,1777,In Stock,101.0,17.6
2026-08-14,B08U5V2X88,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,720,1008,2534,101,88772.55,5,4394.68,20045.02,2534,35145.97,53626.58,1602,In Stock,101.0,15.9
2026-08-15,B08U5V2X88,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,780,1092,2440,109,98004.47,6,5394.74,21332.22,2440,36480.63,61523.84,1483,In Stock,102.1,14.5
2026-08-16,B08U5V2X88,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,831,1163,2206,116,105353.98,6,5449.34,23456.09,2206,39978.66,65375.32,1329,In Stock,104.3,12.7
2026-08-17,B08U5V2X88,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,911,1275,1880,127,114639.91,5,4513.38,23550.03,1880,43458.3,71181.61,1186,In Stock,108.0,11.0
2026-08-18,B08U5V2X88,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,1027,1438,1757,144,131567.51,6,5481.98,28734.72,1757,50522.11,81045.4,1013,In Stock,114.1,8.9
2026-08-19,B08U5V2X88,SLP-KNEE-08,Sleepsia Orthopedic Knee Support Pillow for Side Sleepers,1022,1431,1864,143,128650.16,6,5397.91,26993.06,1864,48801.64,79848.52,882,In Stock,120.1,7.3
2026-08-06,B08S3T4V66,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,893,1224,2183,127,152942.75,6,7225.64,27134.54,2183,58389.1,94553.65,2888,In Stock,127.0,22.7
2026-08-07,B08S3T4V66,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,893,1224,2061,127,148635.24,7,8192.49,25974.9,2061,59442.1,89193.14,2746,In Stock,127.0,21.6
2026-08-08,B08S3T4V66,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,893,1224,2148,127,151279.88,6,7147.08,29731.09,2148,58367.02,92912.86,2928,In Stock,127.0,23.1
2026-08-09,B08S3T4V66,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,893,1224,2163,127,152454.77,7,8403.02,27326.54,2163,58778.92,93675.85,2460,In Stock,127.0,19.4
2026-08-10,B08S3T4V66,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,893,1224,2100,127,155249.52,7,8557.06,26478.46,2100,56836.43,98413.09,2391,In Stock,127.0,18.8
2026-08-11,B08S3T4V66,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,893,1224,2087,127,154931.77,8,9759.48,27535.28,2087,58162.58,96769.19,2112,In Stock,127.0,16.6
2026-08-12,B08S3T4V66,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,893,1224,2199,127,153099.54,6,7233.05,25907.08,2199,58601.47,94498.07,1890,In Stock,127.0,14.9
2026-08-13,B08S3T4V66,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,893,1224,2095,127,149191.36,6,7048.41,26616.52,2095,58150.36,91041.0,2151,In Stock,127.0,16.9
2026-08-14,B08S3T4V66,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,893,1224,2155,127,150430.13,7,8291.42,28087.23,2155,58630.63,91799.5,1642,In Stock,127.0,12.9
2026-08-15,B08S3T4V66,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,1075,1473,1680,153,183255.27,7,8384.23,32665.56,1680,68659.29,114595.98,1417,In Stock,130.7,10.8
2026-08-16,B08S3T4V66,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,1040,1425,1862,148,178163.86,8,9630.48,31998.53,1862,66399.33,111764.53,1265,In Stock,133.7,9.5
2026-08-17,B08S3T4V66,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,1025,1405,1858,145,174999.16,7,8448.24,31499.78,1858,64151.49,110847.67,1089,In Stock,136.3,8.0
2026-08-18,B08S3T4V66,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,1160,1591,1647,165,194381.22,8,9424.54,37275.67,1647,77053.65,117327.57,893,In Stock,141.7,6.3
2026-08-19,B08S3T4V66,SLP-LUM-06,Sleepsia Ergonomic Lumbar Support Memory Foam Cushion for Chair,1161,1592,1558,165,197137.56,10,11947.73,34274.04,1558,76251.43,120886.13,734,In Stock,147.1,5.0
2026-08-06,B08Q7R6T44,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1066,1440,1759,152,121705.24,5,4003.46,26995.36,1759,45806.96,75898.28,3452,In Stock,152.0,22.7
2026-08-07,B08Q7R6T44,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1066,1440,1719,152,122706.92,5,4036.41,26411.34,1719,46093.64,76613.28,3202,In Stock,152.0,21.1
2026-08-08,B08Q7R6T44,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1066,1440,1766,152,123972.63,7,5709.27,27819.62,1766,46555.52,77417.11,2954,In Stock,152.0,19.4
2026-08-09,B08Q7R6T44,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1066,1440,1787,152,121544.98,5,3998.19,26066.36,1787,47063.63,74481.35,2677,In Stock,152.0,17.6
2026-08-10,B08Q7R6T44,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1066,1440,1735,152,122542.3,5,4031.0,28421.14,1735,46824.75,75717.55,2416,In Stock,152.0,15.9
2026-08-11,B08Q7R6T44,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1066,1440,1741,152,123650.43,5,4067.45,27314.75,1741,45505.12,78145.31,2214,In Stock,152.0,14.6
2026-08-12,B08Q7R6T44,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1066,1440,1757,152,121902.72,4,3207.97,27798.95,1757,46712.13,75190.59,2072,In Stock,152.0,13.6
2026-08-13,B08Q7R6T44,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1071,1448,1634,153,124617.92,6,4886.98,24952.21,1634,45904.68,78713.24,1917,In Stock,152.1,12.6
2026-08-14,B08Q7R6T44,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1132,1530,1650,161,129945.84,7,5649.82,27735.05,1650,49678.4,80267.44,1654,In Stock,153.4,10.8
2026-08-15,B08Q7R6T44,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1264,1709,1517,180,142330.0,7,5535.06,31477.02,1517,54484.89,87845.11,1394,In Stock,157.4,8.9
2026-08-16,B08Q7R6T44,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1311,1771,1456,187,152069.18,7,5692.43,32015.38,1456,55843.24,96225.94,1207,In Stock,162.4,7.4
2026-08-17,B08Q7R6T44,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1415,1913,1300,202,163057.42,9,7264.93,36553.74,1300,62010.93,101046.49,960,In Stock,169.6,5.7
2026-08-18,B08Q7R6T44,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1520,2055,1165,217,172430.71,7,5562.28,38288.29,1165,67611.15,104819.56,753,In Stock,178.9,4.2
2026-08-19,B08Q7R6T44,SLP-MIC-04,Sleepsia Premium Microfiber Breathable Soft Pillow (Set of 2),1415,1913,1203,202,162249.48,7,5622.51,36159.0,1203,61670.12,100579.36,572,In Stock,186.0,3.1
2026-08-06,B08R2S5U55,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,979,1332,1942,139,391205.75,7,19701.01,63779.14,1942,148251.94,242953.81,3196,In Stock,139.0,23.0
2026-08-07,B08R2S5U55,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,979,1332,1962,139,388222.44,6,16757.8,62678.48,1962,150269.37,237953.07,2949,In Stock,139.0,21.2
2026-08-08,B08R2S5U55,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,979,1332,1769,139,392933.8,6,16961.17,57907.4,1769,144009.69,248924.11,2735,In Stock,139.0,19.7
2026-08-09,B08R2S5U55,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,979,1332,1922,139,387730.95,7,19526.02,62680.69,1922,151063.85,236667.1,2667,In Stock,139.0,19.2
2026-08-10,B08R2S5U55,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,979,1332,1902,139,385151.41,6,16625.24,60954.72,1902,143465.44,241685.97,2442,In Stock,139.0,17.6
2026-08-11,B08R2S5U55,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,979,1332,1918,139,382607.96,7,19268.03,63105.63,1918,144766.43,237841.53,2126,In Stock,139.0,15.3
2026-08-12,B08R2S5U55,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,979,1332,1955,139,386236.41,6,16672.08,61086.53,1955,144680.07,241556.34,2014,In Stock,139.0,14.5
2026-08-13,B08R2S5U55,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,979,1332,1998,139,390750.72,6,16866.94,65127.14,1998,146829.61,243921.11,1821,In Stock,139.0,13.1
2026-08-14,B08R2S5U55,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,979,1332,2066,139,390850.88,8,22495.01,61964.05,2066,148874.46,241976.42,1645,In Stock,139.0,11.8
2026-08-15,B08R2S5U55,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,1042,1417,1830,148,419602.02,7,19846.04,64318.55,1830,158464.37,261137.65,1426,In Stock,140.3,10.2
2026-08-16,B08R2S5U55,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,1024,1394,1966,145,395759.03,7,19105.61,62397.22,1966,152810.12,242948.91,1278,In Stock,141.1,9.1
2026-08-17,B08R2S5U55,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,1090,1483,1768,155,435655.22,7,19674.75,68426.19,1768,163923.49,271731.73,1056,In Stock,143.4,7.4
2026-08-18,B08R2S5U55,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,1324,1802,1496,188,519001.18,9,24845.8,84212.6,1496,210349.21,308651.97,838,In Stock,150.4,5.6
2026-08-19,B08R2S5U55,SLP-PREG-05,Sleepsia C-Shaped Full Body Pregnancy Pillow for Back Support,1403,1909,1304,199,556621.46,10,27970.93,88588.62,1304,208360.67,348260.79,638,In Stock,159.0,4.0
2026-08-06,B08M4W3V33,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,1152,1548,1628,164,179382.54,9,9844.16,36040.74,1628,68265.8,111116.74,3460,In Stock,164.0,21.1
2026-08-07,B08M4W3V33,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,1152,1548,1504,164,175801.82,8,8575.7,35985.73,1504,67334.63,108467.19,3201,In Stock,164.0,19.5
2026-08-08,B08M4W3V33,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,1152,1548,1606,164,177367.24,8,8652.06,36085.85,1606,67826.47,109540.77,3446,In Stock,164.0,21.0
2026-08-09,B08M4W3V33,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,1152,1548,1561,164,179901.83,9,9872.66,35169.16,1561,68183.04,111718.79,2708,In Stock,164.0,16.5
2026-08-10,B08M4W3V33,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,1152,1548,1536,164,180729.62,8,8816.08,39223.38,1536,71060.57,109669.05,2468,In Stock,164.0,15.0
2026-08-11,B08M4W3V33,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,1152,1548,1435,164,180918.6,8,8825.3,37568.57,1435,67490.99,113427.61,2326,In Stock,164.0,14.2
2026-08-12,B08M4W3V33,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,1152,1548,1472,164,179090.91,7,7644.12,34940.91,1472,68360.56,110730.35,2214,In Stock,164.0,13.5
