date,instamart_sku,sku,product_name,units_sold,price,revenue,ad_spend,ad_attributed_revenue,returns,city_rank,inventory_level,units_in_transit
2026-08-13,INSTA-334102,SLP-COP-02,Sleepsia Cervical Orthopedic Pillow,29,1549.00,44921.00,5300.00,24784.00,1,7,60,30
2026-08-14,INSTA-334102,SLP-COP-02,Sleepsia Cervical Orthopedic Pillow,31,1549.00,48019.00,5600.00,27882.00,1,6,48,30
2026-08-15,INSTA-334102,SLP-COP-02,Sleepsia Cervical Orthopedic Pillow,38,1499.00,56962.00,6800.00,34477.00,2,5,32,30
2026-08-16,INSTA-334102,SLP-COP-02,Sleepsia Cervical Orthopedic Pillow,34,1499.00,50966.00,6200.00,29980.00,1,6,60,0
2026-08-17,INSTA-334102,SLP-COP-02,Sleepsia Cervical Orthopedic Pillow,30,1549.00,46470.00,5400.00,26333.00,0,6,50,0
2026-08-18,INSTA-334102,SLP-COP-02,Sleepsia Cervical Orthopedic Pillow,32,1549.00,49568.00,5800.00,29431.00,1,6,40,25
2026-08-19,INSTA-334102,SLP-COP-02,Sleepsia Cervical Orthopedic Pillow,34,1549.00,52666.00,6100.00,30980.00,1,5,32,25
2026-08-06,INSTA-334103,SLP-BGP-03,Sleepsia Bamboo Gel Infused Pillow,14,1749.00,24486.00,3300.00,13992.00,0,14,80,20
2026-08-07,INSTA-334103,SLP-BGP-03,Sleepsia Bamboo Gel Infused Pillow,15,1749.00,26235.00,3500.00,15741.00,0,13,74,20
2026-08-08,INSTA-334103,SLP-BGP-03,Sleepsia Bamboo Gel Infused Pillow,17,1749.00,29733.00,3900.00,17490.00,1,12,66,20
2026-08-09,INSTA-334103,SLP-BGP-03,Sleepsia Bamboo Gel Infused Pillow,18,1749.00,31482.00,4100.00,19239.00,0,12,58,20
2026-08-10,INSTA-334103,SLP-BGP-03,Sleepsia Bamboo Gel Infused Pillow,16,1749.00,27984.00,3700.00,15741.00,0,13,70,0
2026-08-11,INSTA-334103,SLP-BGP-03,Sleepsia Bamboo Gel Infused Pillow,17,1749.00,29733.00,3900.00,17490.00,1,12,62,0
2026-08-12,INSTA-334103,SLP-BGP-03,Sleepsia Bamboo Gel Infused Pillow,18,1749.00,31482.00,4100.00,19239.00,0,12,54,20
2026-08-13,INSTA-334103,SLP-BGP-03,Sleepsia Bamboo Gel Infused Pillow,19,1749.00,33231.00,4300.00,19239.00,0,11,46,20
2026-08-14,INSTA-334103,SLP-BGP-03,Sleepsia Bamboo Gel Infused Pillow,20,1749.00,34980.00,4500.00,20988.00,1,11,38,20
2026-08-15,INSTA-334103,SLP-BGP-03,Sleepsia Bamboo Gel Infused Pillow,24,1699.00,40776.00,5300.00,25485.00,1,9,28,20
2026-08-16,INSTA-334103,SLP-BGP-03,Sleepsia Bamboo Gel Infused Pillow,22,1699.00,37378.00,4900.00,23786.00,0,10,44,0
2026-08-17,INSTA-334103,SLP-BGP-03,Sleepsia Bamboo Gel Infused Pillow,19,1749.00,33231.00,4300.00,20988.00,0,11,37,0
2026-08-18,INSTA-334103,SLP-BGP-03,Sleepsia Bamboo Gel Infused Pillow,20,1749.00,34980.00,4500.00,20988.00,1,11,30,20
2026-08-19,INSTA-334103,SLP-BGP-03,Sleepsia Bamboo Gel Infused Pillow,21,1749.00,36729.00,4700.00,22737.00,0,10,24,20
2026-08-06,INSTA-334104,SLP-MPS-04,Sleepsia Multi-Position Shredded Pillow,10,1149.00,11490.00,1900.00,6894.00,0,22,45,10
2026-08-07,INSTA-334104,SLP-MPS-04,Sleepsia Multi-Position Shredded Pillow,11,1149.00,12639.00,2000.00,8043.00,0,21,39,10
2026-08-08,INSTA-334104,SLP-MPS-04,Sleepsia Multi-Position Shredded Pillow,12,1149.00,13788.00,2200.00,8043.00,0,20,32,10
2026-08-09,INSTA-334104,SLP-MPS-04,Sleepsia Multi-Position Shredded Pillow,13,1149.00,14937.00,2400.00,9192.00,0,19,25,10
2026-08-10,INSTA-334104,SLP-MPS-04,Sleepsia Multi-Position Shredded Pillow,11,1149.00,12639.00,2100.00,8043.00,0,21,18,0
2026-08-11,INSTA-334104,SLP-MPS-04,Sleepsia Multi-Position Shredded Pillow,12,1149.00,13788.00,2200.00,8043.00,0,20,11,0
2026-08-12,INSTA-334104,SLP-MPS-04,Sleepsia Multi-Position Shredded Pillow,13,1149.00,14937.00,2400.00,9192.00,0,19,4,0
2026-08-13,INSTA-334104,SLP-MPS-04,Sleepsia Multi-Position Shredded Pillow,4,1149.00,4596.00,800.00,2298.00,0,28,0,0
2026-08-14,INSTA-334104,SLP-MPS-04,Sleepsia Multi-Position Shredded Pillow,0,1149.00,0.00,0.00,0.00,0,45,0,0
2026-08-15,INSTA-334104,SLP-MPS-04,Sleepsia Multi-Position Shredded Pillow,0,1099.00,0.00,0.00,0.00,0,52,0,0
2026-08-16,INSTA-334104,SLP-MPS-04,Sleepsia Multi-Position Shredded Pillow,0,1099.00,0.00,0.00,0.00,0,58,0,0
2026-08-17,INSTA-334104,SLP-MPS-04,Sleepsia Multi-Position Shredded Pillow,0,1149.00,0.00,0.00,0.00,0,60,0,0
2026-08-18,INSTA-334104,SLP-MPS-04,Sleepsia Multi-Position Shredded Pillow,0,1149.00,0.00,0.00,0.00,0,65,0,30
2026-08-19,INSTA-334104,SLP-MPS-04,Sleepsia Multi-Position Shredded Pillow,0,1149.00,0.00,0.00,0.00,0,68,0,30
2026-08-06,INSTA-334105,SLP-VEM-05,Sleepsia Premium Velvet Eye Mask & Pillow Set,8,799.00,6392.00,1100.00,3995.00,0,26,55,10
2026-08-07,INSTA-334105,SLP-VEM-05,Sleepsia Premium Velvet Eye Mask & Pillow Set,9,799.00,7191.00,1200.00,4794.00,0,25,50,10
2026-08-08,INSTA-334105,SLP-VEM-05,Sleepsia Premium Velvet Eye Mask & Pillow Set,10,799.00,7990.00,1400.00,4794.00,0,24,45,10
2026-08-09,INSTA-334105,SLP-VEM-05,Sleepsia Premium Velvet Eye Mask & Pillow Set,11,799.00,8789.00,1500.00,5593.00,0,23,40,10
2026-08-10,INSTA-334105,SLP-VEM-05,Sleepsia Premium Velvet Eye Mask & Pillow Set,10,799.00,7990.00,1400.00,4794.00,0,24,48,0
2026-08-11,INSTA-334105,SLP-VEM-05,Sleepsia Premium Velvet Eye Mask & Pillow Set,10,799.00,7990.00,1400.00,4794.00,0,24,43,0
2026-08-12,INSTA-334105,SLP-VEM-05,Sleepsia Premium Velvet Eye Mask & Pillow Set,11,799.00,8789.00,1500.00,5593.00,0,23,38,10
2026-08-13,INSTA-334105,SLP-VEM-05,Sleepsia Premium Velvet Eye Mask & Pillow Set,11,799.00,8789.00,1500.00,5593.00,0,23,33,10
2026-08-14,INSTA-334105,SLP-VEM-05,Sleepsia Premium Velvet Eye Mask & Pillow Set,12,799.00,9588.00,1600.00,6392.00,0,22,28,10
2026-08-15,INSTA-334105,SLP-VEM-05,Sleepsia Premium Velvet Eye Mask & Pillow Set,15,749.00,11235.00,1900.00,8239.00,0,20,22,10
2026-08-16,INSTA-334105,SLP-VEM-05,Sleepsia Premium Velvet Eye Mask & Pillow Set,13,749.00,9737.00,1700.00,6741.00,0,21,31,0
2026-08-17,INSTA-334105,SLP-VEM-05,Sleepsia Premium Velvet Eye Mask & Pillow Set,11,799.00,8789.00,1500.00,5593.00,0,23,26,0
2026-08-18,INSTA-334105,SLP-VEM-05,Sleepsia Premium Velvet Eye Mask & Pillow Set,12,799.00,9588.00,1600.00,6392.00,0,22,22,10
2026-08-19,INSTA-334105,SLP-VEM-05,Sleepsia Premium Velvet Eye Mask & Pillow Set,13,799.00,10387.00,1700.00,7191.00,0,21,18,10
2026-08-06,INSTA-334106,SLP-KSW-06,Sleepsia Knee Support Wedge Pillow,6,1049.00,6294.00,1000.00,3147.00,0,34,42,8
2026-08-07,INSTA-334106,SLP-KSW-06,Sleepsia Knee Support Wedge Pillow,7,1049.00,7343.00,1100.00,4196.00,0,33,39,8
2026-08-08,INSTA-334106,SLP-KSW-06,Sleepsia Knee Support Wedge Pillow,8,1049.00,8392.00,1300.00,5245.00,0,31,35,8
2026-08-09,INSTA-334106,SLP-KSW-06,Sleepsia Knee Support Wedge Pillow,9,1049.00,9441.00,1400.00,5245.00,0,30,31,8
2026-08-10,INSTA-334106,SLP-KSW-06,Sleepsia Knee Support Wedge Pillow,7,1049.00,7343.00,1100.00,4196.00,0,32,36,0
2026-08-11,INSTA-334106,SLP-KSW-06,Sleepsia Knee Support Wedge Pillow,8,1049.00,8392.00,1300.00,5245.00,0,31,32,0
2026-08-12,INSTA-334106,SLP-KSW-06,Sleepsia Knee Support Wedge Pillow,8,1049.00,8392.00,1300.00,5245.00,0,31,28,8
2026-08-13,INSTA-334106,SLP-KSW-06,Sleepsia Knee Support Wedge Pillow,9,1049.00,9441.00,1400.00,5245.00,0,30,24,8
2026-08-14,INSTA-334106,SLP-KSW-06,Sleepsia Knee Support Wedge Pillow,10,1049.00,10490.00,1500.00,6294.00,0,29,20,8
2026-08-15,INSTA-334106,SLP-KSW-06,Sleepsia Knee Support Wedge Pillow,12,999.00,11988.00,1800.00,7992.00,0,27,15,8
2026-08-16,INSTA-334106,SLP-KSW-06,Sleepsia Knee Support Wedge Pillow,11,999.00,10989.00,1600.00,6993.00,0,28,21,0
2026-08-17,INSTA-334106,SLP-KSW-06,Sleepsia Knee Support Wedge Pillow,9,1049.00,9441.00,1400.00,5245.00,0,30,18,0
2026-08-18,INSTA-334106,SLP-KSW-06,Sleepsia Knee Support Wedge Pillow,9,1049.00,9441.00,1400.00,5245.00,0,30,15,8
2026-08-19,INSTA-334106,SLP-KSW-06,Sleepsia Knee Support Wedge Pillow,10,1049.00,10490.00,1500.00,6294.00,0,29,12,8
